"deviceid","note","lat","lon","projx","projy","z","canopyheight","aspect","slope","relz1500ft","relz500ft","ndvi","aspfrom200"
35," ",37.3869,-121.75,6198595.472,1965771.333,1932,24.4439,132.27,3.72278,117,78,-0.0901639,105.538
36," ",37.3883,-121.75,6198590.513,1966270.267,1889,1.9442,193.68,3.6451,69,17,-0.0697674,70
39," ",37.3899,-121.733,6203548.41,1966794.407,2364,1.01683,216.661,3.87065,365,99,-0.0169492,1.56505
41," ",37.3874,-121.751,6198115.619,1965956.173,1990,1.11334,72.3978,9.15784,159,106,0.0405405,176.699
42," ",37.3879,-121.751,6198359.266,1966142.267,1902,2.05335,61.8949,10.8332,77,25,-0.119342,173.435
43," ",37.3879,-121.751,6198303.925,1966132.083,1918,26.9609,79.3517,18.3662,90,39,0.116279,170.784
44," ",37.3887,-121.749,6198758.382,1966439.17,1912,2.03049,180.029,7.12172,93,40,-0.11588,70
45," ",37.3894,-121.749,6198831.455,1966689.449,1982,5.85317,220.117,25.9576,153,94,0.0162162,26.2454
46," ",37.3923,-121.732,6203757.546,1967672.862,2409,8.97377,337.566,28.8984,244,102,0.0547945,91.0535
47," ",37.3927,-121.732,6203669.174,1967801.473,2338,4.42645,306.019,10.8679,178,33,0.0119522,68.5763
48," ",37.3927,-121.733,6203585.221,1967824.427,2345,14.0606,178.543,32.2808,195,42,0.0583658,73.9909
49," ",37.3928,-121.733,6203518.89,1967861.715,2370,4.33996,173.634,29.0378,225,69,-0.093633,70.7848
50," ",37.393,-121.733,6203484.895,1967927.707,2407,3.10533,163.22,24.5942,262,103,-0.119691,85.9454
51,"co-located with 32",37.3881,-121.75,6198566.641,1966223.248,1886,1.83937,178.987,2.42661,67,14,0.272727,81.3099
52," ",37.3799,-121.74,6201446.236,1963169.892,1778,0,0,0,74,36,-0.445087,13.6598
53,"coords at edge of pond",37.3899,-121.733,6203533.646,1966776.394,2363,0,0,0,369,101,0.114504,25
54," ",37.3797,-121.732,6203810.411,1963080.411,1864,0.449951,203.342,3.04485,160,65,-0.246377,25
55," ",37.3834,-121.738,6201924.996,1964434.389,1939,0.326249,245.757,6.55518,186,80,0.203252,9.74489
56," ",37.3904,-121.749,6198795.548,1967046.783,2135,0.842103,168.574,4.52225,288,209,-0.15942,76.3402
57," ",37.3842,-121.738,6202135.213,1964730.2,2104,17.9538,215.557,10.8161,325,196,0.236514,31.3402
